,std
ENSG00000223972,0.05688811225582747
ENSG00000227232,7.50571962067554
ENSG00000243485,0.009403364976590644
ENSG00000268020,0.02050771747284528
ENSG00000240361,0.04114797009755256
ENSG00000186092,0.004657607737653341
ENSG00000238009,0.02570945912573582
ENSG00000233750,0.057153751185426774
ENSG00000237683,6.1889579945570565
ENSG00000268903,0.6744693693210208
ENSG00000239906,1.2036895532295637
ENSG00000241860,0.1007440300411613
ENSG00000222623,0.3092458878730081
ENSG00000241599,0.16098649630371553
ENSG00000228463,0.5046161343911423
ENSG00000237094,0.033270915241463146
ENSG00000250575,0.01870412371304206
ENSG00000233653,0.002559430505297922
ENSG00000236601,0.0
ENSG00000236743,0.008240290824382265
ENSG00000236679,0.026438947956563492
ENSG00000231709,0.15617569814949858
ENSG00000235146,0.1074767008534237
ENSG00000239664,0.06319945872664275
ENSG00000230021,0.02143405349344676
ENSG00000223659,0.0020493874509339466
ENSG00000225972,195.72149991570694
ENSG00000225630,203.7447537735872
ENSG00000237973,131.7488001220322
ENSG00000229344,33.687905253023004
ENSG00000240409,2.1165175463461803
ENSG00000248527,713.8515188046994
ENSG00000198744,23.33865503935055
ENSG00000268663,0.01848669266865971
ENSG00000229376,0.04061512973033628
ENSG00000224956,0.49191793639977804
ENSG00000235373,0.07830329683961244
ENSG00000223181,0.2547714145816884
ENSG00000240618,0.35585585179258855
ENSG00000229905,0.04148876783320761
ENSG00000228327,1.4913629069968093
ENSG00000237491,0.47907748263599675
ENSG00000230092,0.6828597836156551
ENSG00000269831,0.5651166813763104
ENSG00000240453,0.030542861813549455
ENSG00000177757,0.20905724619266178
ENSG00000225880,2.2184505913255816
ENSG00000228794,1.7285333548821373
ENSG00000230368,0.03512507763589837
ENSG00000234711,0.04277372182144451
ENSG00000269308,0.18803396553818982
ENSG00000272438,0.3380378671066409
ENSG00000230699,0.11830702710257282
ENSG00000241180,0.02949731355571348
ENSG00000223764,0.1709380375731908
ENSG00000187634,27.29839749172971
ENSG00000268179,0.08670511498994234
ENSG00000188976,18.34943964932458
ENSG00000187961,5.69212736561576
ENSG00000187583,5.717897335203607
ENSG00000187642,1.34281378663913
ENSG00000272512,0.1522960372526407
ENSG00000188290,6.310724250090256
ENSG00000231702,7.512312886781472
ENSG00000224969,0.23113059493588062
ENSG00000187608,779.4281246407129
ENSG00000188157,9.12155388079067
ENSG00000217801,1.2872388314580283
ENSG00000273443,0.3888258979121232
ENSG00000237330,0.27150570308932104
ENSG00000131591,2.095594513999594
ENSG00000223823,0.18187021496326458
ENSG00000207730,0.22014408380519218
ENSG00000207607,0.2732370191437807
ENSG00000198976,0.22498462617125295
ENSG00000272141,0.07032098597999051
ENSG00000205231,0.02319148709266453
ENSG00000162571,0.0693874389955425
ENSG00000186891,109.34167021783418
ENSG00000186827,14.003962433233008
ENSG00000078808,60.20684789993854
ENSG00000176022,8.730663170632978
ENSG00000184163,1.5286773787599628
ENSG00000260179,0.4420171940857848
ENSG00000160087,9.945401434395944
ENSG00000230415,2.6339441224426956
ENSG00000162572,2.113240050974199
ENSG00000131584,9.920359960156349
ENSG00000169972,4.845183076007972
ENSG00000127054,10.867275066793802
ENSG00000240731,7.0801746863267425
ENSG00000224051,17.251797622887995
ENSG00000169962,44.355724575551776
ENSG00000107404,21.233868744787134
ENSG00000162576,7.875933608774013
ENSG00000175756,48.87447862248478
ENSG00000223663,0.18377168802856808
ENSG00000221978,30.068124643239905
ENSG00000224870,9.218425126263888
ENSG00000242485,19.543905982619414
ENSG00000272455,1.187455817585373
ENSG00000235098,0.1670386261244929
ENSG00000225905,0.10070102682012856
ENSG00000205116,0.29512961350464095
ENSG00000225285,0.0700618632354895
ENSG00000179403,0.8356186352758043
ENSG00000215915,5.751472881831041
ENSG00000160072,6.567961831227979
ENSG00000197785,10.456044335566961
ENSG00000205090,0.5813532248813837
ENSG00000160075,16.683402334849482
ENSG00000215014,1.0942557293265383
ENSG00000236684,0.059162424439305014
ENSG00000228594,1.7180750533560694
ENSG00000272106,5.6120375087816665
ENSG00000197530,6.7155051021542365
ENSG00000189409,0.7070425175621372
ENSG00000248333,10.445374157399467
