,0
0,ENSG00000136997
1,ENSG00000137265
2,ENSG00000083799
3,ENSG00000113851
4,ENSG00000141510
5,ENSG00000213281
6,ENSG00000133703
7,ENSG00000157764
8,ENSG00000083520
9,ENSG00000149311
10,ENSG00000175054
11,ENSG00000131323
12,ENSG00000110330
13,ENSG00000023445
14,ENSG00000183508
